Clicks;Calls;Sites;Position;DayOfWeek;HasSocialAccounts;nom1;nom2;nom3;nom4;nom5;nom6
5;2;1;36;5;1;0;0;0;0;1;0
5;1;4;12;1;1;1;0;0;0;0;0
5;2;1;65;4;0;0;0;0;1;0;0
5;2;1;35;4;1;0;0;0;1;0;0
5;2;2;126;3;1;0;0;1;0;0;0
5;2;1;5;7;0;0;0;0;0;0;0
5;1;1;2;5;1;0;0;0;0;1;0
5;1;2;20;2;0;0;1;0;0;0;0
5;1;1;201;1;1;1;0;0;0;0;0
5;1;1;13;3;1;0;0;1;0;0;0
5;1;1;65;1;1;1;0;0;0;0;0
5;1;2;6;4;1;0;0;0;1;0;0
5;1;1;88;3;1;0;0;1;0;0;0
5;2;2;29;2;0;0;1;0;0;0;0
5;2;1;5;3;1;0;0;1;0;0;0
5;1;2;13;4;1;0;0;0;1;0;0
5;1;1;64;3;1;0;0;1;0;0;0
5;1;1;2;1;1;1;0;0;0;0;0
5;2;4;6;7;0;0;0;0;0;0;0
5;2;1;6;4;1;0;0;0;1;0;0
5;2;3;41;2;1;0;1;0;0;0;0
5;3;2;479;3;0;0;0;1;0;0;0
5;2;2;33;4;1;0;0;0;1;0;0
5;2;4;19;4;0;0;0;0;1;0;0
5;1;2;159;5;1;0;0;0;0;1;0
5;1;1;7;1;1;1;0;0;0;0;0
5;1;2;88;1;0;1;0;0;0;0;0
5;1;2;18;4;1;0;0;0;1;0;0
5;1;1;2;4;0;0;0;0;1;0;0
5;1;1;32;4;0;0;0;0;1;0;0
5;1;2;42;7;0;0;0;0;0;0;0
5;1;3;2;1;1;1;0;0;0;0;0
5;2;2;187;3;1;0;0;1;0;0;0
5;2;2;90;5;1;0;0;0;0;1;0
5;1;1;34;1;1;1;0;0;0;0;0
5;2;2;8;1;1;1;0;0;0;0;0
5;2;3;20;4;1;0;0;0;1;0;0
5;1;2;119;2;1;0;1;0;0;0;0
5;1;2;32;5;1;0;0;0;0;1;0
5;1;1;5;3;1;0;0;1;0;0;0
5;1;2;13;5;1;0;0;0;0;1;0
5;1;1;3;1;1;1;0;0;0;0;0
5;1;1;215;3;0;0;0;1;0;0;0
5;1;2;38;2;0;0;1;0;0;0;0
5;1;1;411;2;1;0;1;0;0;0;0
5;1;2;7;6;0;0;0;0;0;0;1
5;1;1;1;2;1;0;1;0;0;0;0
5;2;1;1;3;0;0;0;1;0;0;0
5;2;4;43;3;1;0;0;1;0;0;0
5;2;1;35;6;0;0;0;0;0;0;1
5;1;1;327;4;0;0;0;0;1;0;0
5;1;1;13;4;1;0;0;0;1;0;0
5;1;2;11;1;0;1;0;0;0;0;0
5;2;3;19;1;1;1;0;0;0;0;0
5;2;1;31;4;1;0;0;0;1;0;0
5;1;1;9;6;1;0;0;0;0;0;1
5;2;3;77;5;0;0;0;0;0;1;0
5;1;1;84;1;1;1;0;0;0;0;0
5;1;1;55;7;1;0;0;0;0;0;0
5;2;3;66;4;1;0;0;0;1;0;0
5;1;2;30;5;1;0;0;0;0;1;0
5;1;1;27;4;1;0;0;0;1;0;0
5;2;3;30;3;1;0;0;1;0;0;0
5;1;1;2;5;1;0;0;0;0;1;0
5;1;1;4;6;0;0;0;0;0;0;1
5;5;6;18;7;1;0;0;0;0;0;0
5;3;2;22;5;0;0;0;0;0;1;0
5;1;1;68;5;1;0;0;0;0;1;0
5;1;2;33;1;0;1;0;0;0;0;0
5;2;4;8;5;1;0;0;0;0;1;0
5;4;3;9;4;0;0;0;0;1;0;0
5;1;2;10;6;1;0;0;0;0;0;1
5;2;1;5;6;0;0;0;0;0;0;1
5;1;2;60;4;0;0;0;0;1;0;0
5;1;1;2;5;1;0;0;0;0;1;0
5;1;1;30;5;1;0;0;0;0;1;0
5;1;2;46;6;1;0;0;0;0;0;1
5;2;2;166;5;0;0;0;0;0;1;0
5;1;2;288;4;1;0;0;0;1;0;0
5;1;1;9;3;1;0;0;1;0;0;0
5;2;3;63;5;1;0;0;0;0;1;0
5;4;2;222;4;1;0;0;0;1;0;0
5;2;2;12;3;1;0;0;1;0;0;0
5;1;1;138;4;1;0;0;0;1;0;0
5;1;1;119;1;1;1;0;0;0;0;0
5;1;1;18;3;1;0;0;1;0;0;0
5;2;2;19;4;1;0;0;0;1;0;0
5;1;1;173;3;1;0;0;1;0;0;0
5;1;1;12;3;1;0;0;1;0;0;0
5;1;1;74;3;1;0;0;1;0;0;0
5;1;1;5;3;1;0;0;1;0;0;0
5;1;1;74;4;1;0;0;0;1;0;0
5;1;1;37;5;1;0;0;0;0;1;0
5;1;2;24;1;0;1;0;0;0;0;0
5;1;1;9;5;1;0;0;0;0;1;0
5;1;1;20;4;1;0;0;0;1;0;0
5;1;4;17;6;0;0;0;0;0;0;1
5;1;2;7;4;0;0;0;0;1;0;0
5;1;3;6;2;0;0;1;0;0;0;0
5;2;5;35;2;0;0;1;0;0;0;0
5;3;1;126;3;1;0;0;1;0;0;0
5;3;1;116;1;0;1;0;0;0;0;0
5;1;1;19;2;1;0;1;0;0;0;0
5;1;2;3;7;0;0;0;0;0;0;0
5;1;2;93;1;1;1;0;0;0;0;0
5;1;3;32;5;1;0;0;0;0;1;0
5;1;3;19;6;1;0;0;0;0;0;1
5;1;1;130;3;1;0;0;1;0;0;0
5;3;3;273;4;0;0;0;0;1;0;0
5;1;1;83;2;1;0;1;0;0;0;0
5;1;2;14;6;1;0;0;0;0;0;1
5;1;1;48;6;1;0;0;0;0;0;1
5;3;2;5;4;0;0;0;0;1;0;0
5;1;3;19;3;0;0;0;1;0;0;0
5;1;1;9;5;0;0;0;0;0;1;0
5;2;2;194;4;1;0;0;0;1;0;0
5;1;2;56;5;1;0;0;0;0;1;0
5;1;2;7;4;1;0;0;0;1;0;0
5;1;1;3;3;1;0;0;1;0;0;0
5;1;3;11;3;0;0;0;1;0;0;0
5;1;1;4;1;1;1;0;0;0;0;0
5;1;1;143;3;0;0;0;1;0;0;0
5;1;2;5;1;1;1;0;0;0;0;0
5;2;3;97;2;1;0;1;0;0;0;0
5;1;3;29;6;1;0;0;0;0;0;1
5;2;3;4;7;1;0;0;0;0;0;0
5;1;1;9;5;1;0;0;0;0;1;0
5;1;3;17;4;1;0;0;0;1;0;0
5;2;3;45;1;0;1;0;0;0;0;0
5;1;1;281;5;1;0;0;0;0;1;0
5;2;2;399;5;0;0;0;0;0;1;0
5;1;3;1;1;1;1;0;0;0;0;0
5;1;2;26;5;1;0;0;0;0;1;0
5;1;2;10;4;0;0;0;0;1;0;0
5;1;1;52;2;1;0;1;0;0;0;0
5;1;1;95;5;1;0;0;0;0;1;0
5;1;2;26;2;1;0;1;0;0;0;0
5;1;2;4;4;0;0;0;0;1;0;0
5;1;2;11;6;1;0;0;0;0;0;1
5;2;2;167;4;1;0;0;0;1;0;0
5;1;1;37;5;1;0;0;0;0;1;0
5;1;1;3;5;0;0;0;0;0;1;0
5;2;2;141;4;1;0;0;0;1;0;0
5;1;2;62;4;1;0;0;0;1;0;0
5;1;2;22;4;1;0;0;0;1;0;0
5;1;2;23;1;1;1;0;0;0;0;0
5;1;1;79;5;1;0;0;0;0;1;0
5;2;3;41;3;0;0;0;1;0;0;0
5;1;3;9;2;1;0;1;0;0;0;0
5;4;1;26;6;1;0;0;0;0;0;1
5;2;4;38;4;1;0;0;0;1;0;0
5;1;1;12;7;0;0;0;0;0;0;0
5;1;1;33;1;0;1;0;0;0;0;0
5;1;1;86;4;1;0;0;0;1;0;0
5;1;2;12;1;1;1;0;0;0;0;0
5;2;1;5;3;1;0;0;1;0;0;0
5;1;1;1;2;1;0;1;0;0;0;0
5;2;3;88;6;1;0;0;0;0;0;1
5;1;3;35;4;0;0;0;0;1;0;0
5;3;4;22;2;0;0;1;0;0;0;0
4;1;1;7;1;0;1;0;0;0;0;0
4;1;1;4;3;1;0;0;1;0;0;0
4;1;4;72;4;1;0;0;0;1;0;0
4;1;1;6;7;1;0;0;0;0;0;0
4;1;2;30;1;1;1;0;0;0;0;0
4;2;2;177;4;1;0;0;0;1;0;0
4;1;1;21;1;1;1;0;0;0;0;0
4;1;2;5;2;0;0;1;0;0;0;0
4;1;1;77;1;0;1;0;0;0;0;0
4;1;3;6;5;0;0;0;0;0;1;0
4;1;1;101;2;1;0;1;0;0;0;0
4;1;1;15;4;0;0;0;0;1;0;0
4;1;1;141;5;1;0;0;0;0;1;0
4;2;4;43;4;1;0;0;0;1;0;0
4;1;2;4;1;0;1;0;0;0;0;0
4;2;3;123;2;1;0;1;0;0;0;0
4;1;2;46;2;1;0;1;0;0;0;0
4;1;2;339;4;0;0;0;0;1;0;0
4;2;4;14;2;0;0;1;0;0;0;0
4;1;2;14;4;0;0;0;0;1;0;0
4;2;2;3;2;0;0;1;0;0;0;0
4;1;2;415;4;0;0;0;0;1;0;0
4;1;3;15;7;1;0;0;0;0;0;0
4;1;2;75;7;1;0;0;0;0;0;0
4;1;1;7;6;1;0;0;0;0;0;1
4;1;1;7;3;1;0;0;1;0;0;0
4;1;1;56;2;1;0;1;0;0;0;0
4;1;2;2;6;0;0;0;0;0;0;1
4;1;1;132;3;1;0;0;1;0;0;0
4;1;1;11;4;0;0;0;0;1;0;0
4;1;2;57;4;1;0;0;0;1;0;0
4;2;3;71;3;1;0;0;1;0;0;0
4;1;2;100;3;1;0;0;1;0;0;0
4;1;1;29;2;1;0;1;0;0;0;0
4;2;1;44;2;0;0;1;0;0;0;0
4;2;2;1;4;1;0;0;0;1;0;0
4;1;2;2;7;1;0;0;0;0;0;0
4;1;1;25;3;1;0;0;1;0;0;0
4;1;2;7;4;1;0;0;0;1;0;0
4;1;1;46;5;1;0;0;0;0;1;0
4;1;1;2;6;1;0;0;0;0;0;1
4;1;1;37;3;1;0;0;1;0;0;0
4;3;3;23;3;0;0;0;1;0;0;0
4;1;2;3;6;1;0;0;0;0;0;1
4;1;5;2;5;1;0;0;0;0;1;0
4;1;2;22;2;0;0;1;0;0;0;0
4;1;2;4;3;0;0;0;1;0;0;0
4;1;1;99;3;1;0;0;1;0;0;0
4;4;1;5;7;0;0;0;0;0;0;0
4;2;1;12;3;1;0;0;1;0;0;0
4;1;3;296;3;0;0;0;1;0;0;0
4;2;2;207;4;0;0;0;0;1;0;0
4;1;2;7;5;1;0;0;0;0;1;0
4;1;3;74;5;1;0;0;0;0;1;0
4;1;2;490;2;1;0;1;0;0;0;0
4;1;1;6;3;1;0;0;1;0;0;0
4;1;2;140;4;1;0;0;0;1;0;0
4;1;1;20;6;1;0;0;0;0;0;1
4;1;2;19;2;1;0;1;0;0;0;0
4;1;1;2;4;0;0;0;0;1;0;0
4;1;1;51;1;1;1;0;0;0;0;0
4;1;1;3;5;1;0;0;0;0;1;0
4;2;3;80;5;0;0;0;0;0;1;0
4;1;1;1;2;1;0;1;0;0;0;0
4;1;2;130;3;1;0;0;1;0;0;0
4;1;1;2;1;1;1;0;0;0;0;0
4;1;1;17;4;0;0;0;0;1;0;0
4;1;1;4;7;1;0;0;0;0;0;0
4;2;3;52;5;1;0;0;0;0;1;0
4;1;1;126;3;1;0;0;1;0;0;0
4;1;4;8;5;1;0;0;0;0;1;0
4;1;4;52;3;1;0;0;1;0;0;0
4;1;1;3;4;1;0;0;0;1;0;0
4;2;2;103;3;1;0;0;1;0;0;0
4;1;1;35;5;0;0;0;0;0;1;0
4;1;1;19;3;0;0;0;1;0;0;0
4;1;1;281;4;1;0;0;0;1;0;0
4;1;2;105;5;1;0;0;0;0;1;0
4;2;2;95;5;1;0;0;0;0;1;0
4;1;1;2;4;0;0;0;0;1;0;0
4;3;1;22;5;1;0;0;0;0;1;0
4;1;2;1;1;0;1;0;0;0;0;0
4;1;1;53;1;0;1;0;0;0;0;0
4;1;1;6;3;1;0;0;1;0;0;0
4;1;1;37;4;1;0;0;0;1;0;0
4;1;1;3;6;0;0;0;0;0;0;1
4;1;1;3;3;0;0;0;1;0;0;0
4;1;2;47;5;1;0;0;0;0;1;0
4;1;2;22;3;1;0;0;1;0;0;0
4;1;1;69;5;1;0;0;0;0;1;0
4;1;1;598;2;0;0;1;0;0;0;0
4;1;2;36;5;0;0;0;0;0;1;0
4;1;4;16;3;1;0;0;1;0;0;0
4;1;1;10;2;0;0;1;0;0;0;0
4;2;1;25;1;1;1;0;0;0;0;0
4;1;1;129;5;1;0;0;0;0;1;0
4;1;1;2;4;1;0;0;0;1;0;0
4;1;1;1;5;1;0;0;0;0;1;0
4;1;2;2;5;0;0;0;0;0;1;0
4;2;1;3;2;0;0;1;0;0;0;0
4;1;1;33;3;1;0;0;1;0;0;0
4;1;2;86;2;1;0;1;0;0;0;0
4;1;1;1;7;0;0;0;0;0;0;0
4;1;2;17;4;0;0;0;0;1;0;0
4;1;1;108;2;0;0;1;0;0;0;0
4;2;3;305;4;1;0;0;0;1;0;0
4;1;1;2;4;0;0;0;0;1;0;0
4;2;2;123;4;1;0;0;0;1;0;0
4;1;1;67;5;1;0;0;0;0;1;0
4;1;1;1;3;1;0;0;1;0;0;0
4;1;2;16;1;0;1;0;0;0;0;0
4;3;2;40;2;1;0;1;0;0;0;0
4;1;1;7;3;1;0;0;1;0;0;0
4;2;1;56;1;1;1;0;0;0;0;0
4;2;2;49;2;0;0;1;0;0;0;0
4;1;1;44;6;1;0;0;0;0;0;1
4;1;3;11;5;1;0;0;0;0;1;0
4;1;1;3;2;1;0;1;0;0;0;0
4;1;2;21;5;1;0;0;0;0;1;0
4;1;2;2;5;1;0;0;0;0;1;0
4;1;1;7;7;1;0;0;0;0;0;0
4;2;2;123;5;1;0;0;0;0;1;0
4;1;1;3;1;0;1;0;0;0;0;0
4;1;2;249;5;1;0;0;0;0;1;0
4;2;1;118;1;1;1;0;0;0;0;0
4;1;2;18;5;0;0;0;0;0;1;0
4;2;2;26;1;1;1;0;0;0;0;0
4;1;1;4;5;0;0;0;0;0;1;0
4;3;2;156;3;0;0;0;1;0;0;0
4;2;1;32;4;1;0;0;0;1;0;0
4;1;2;98;4;1;0;0;0;1;0;0
4;1;2;10;4;1;0;0;0;1;0;0
4;1;1;4;5;0;0;0;0;0;1;0
4;3;3;165;2;0;0;1;0;0;0;0
4;1;2;6;5;1;0;0;0;0;1;0
4;1;1;73;4;1;0;0;0;1;0;0
4;1;2;14;3;0;0;0;1;0;0;0
4;1;3;57;3;1;0;0;1;0;0;0
4;1;1;16;4;0;0;0;0;1;0;0
4;1;1;22;1;1;1;0;0;0;0;0
4;1;1;69;4;1;0;0;0;1;0;0
4;1;1;23;5;0;0;0;0;0;1;0
4;2;2;20;3;1;0;0;1;0;0;0
4;1;1;57;1;1;1;0;0;0;0;0
4;2;1;2;5;1;0;0;0;0;1;0
4;2;1;8;4;0;0;0;0;1;0;0
4;1;1;5;2;0;0;1;0;0;0;0
4;2;2;11;2;1;0;1;0;0;0;0
4;1;2;2;6;1;0;0;0;0;0;1
4;2;2;46;7;1;0;0;0;0;0;0
4;1;1;40;5;1;0;0;0;0;1;0
4;1;4;4;1;1;1;0;0;0;0;0
4;1;1;3;5;0;0;0;0;0;1;0
4;1;1;9;3;0;0;0;1;0;0;0
4;1;3;6;2;0;0;1;0;0;0;0
4;2;2;1;4;1;0;0;0;1;0;0
4;1;1;34;1;1;1;0;0;0;0;0
4;1;1;13;2;1;0;1;0;0;0;0
4;1;2;5;2;1;0;1;0;0;0;0
4;2;2;33;3;1;0;0;1;0;0;0
4;2;1;6;4;0;0;0;0;1;0;0
4;1;1;4;4;1;0;0;0;1;0;0
4;1;1;1;2;0;0;1;0;0;0;0
4;2;1;9;4;0;0;0;0;1;0;0
4;1;3;30;7;1;0;0;0;0;0;0
4;1;5;11;4;0;0;0;0;1;0;0
4;3;4;5;7;0;0;0;0;0;0;0
4;1;1;1;2;1;0;1;0;0;0;0
4;1;4;9;6;1;0;0;0;0;0;1
4;1;1;35;4;1;0;0;0;1;0;0
4;1;1;4;4;0;0;0;0;1;0;0
4;1;1;3;2;1;0;1;0;0;0;0
4;1;1;38;4;1;0;0;0;1;0;0
4;1;1;2;3;0;0;0;1;0;0;0
4;1;2;21;5;1;0;0;0;0;1;0
4;1;2;4;4;1;0;0;0;1;0;0
4;1;3;22;7;1;0;0;0;0;0;0
4;1;1;5;4;1;0;0;0;1;0;0
4;1;2;107;2;1;0;1;0;0;0;0
4;1;2;59;3;0;0;0;1;0;0;0
4;1;1;9;2;0;0;1;0;0;0;0
4;1;2;13;7;1;0;0;0;0;0;0
4;1;2;1;6;1;0;0;0;0;0;1
4;1;1;182;4;1;0;0;0;1;0;0
4;1;4;15;5;1;0;0;0;0;1;0
4;1;2;40;2;0;0;1;0;0;0;0
4;1;1;53;4;1;0;0;0;1;0;0
4;1;1;1;1;1;1;0;0;0;0;0
4;1;2;3;6;0;0;0;0;0;0;1
4;1;1;36;2;0;0;1;0;0;0;0
4;1;3;33;2;1;0;1;0;0;0;0
4;1;1;6;3;0;0;0;1;0;0;0
4;2;2;4;7;1;0;0;0;0;0;0
4;1;1;12;5;1;0;0;0;0;1;0
4;1;2;117;4;1;0;0;0;1;0;0
4;2;1;13;6;1;0;0;0;0;0;1
4;2;2;43;4;1;0;0;0;1;0;0
4;1;1;9;5;0;0;0;0;0;1;0
4;1;2;33;5;0;0;0;0;0;1;0
4;1;2;24;5;0;0;0;0;0;1;0
4;1;2;6;2;1;0;1;0;0;0;0
4;1;1;9;3;0;0;0;1;0;0;0
4;1;2;16;1;0;1;0;0;0;0;0
3;1;1;91;3;1;0;0;1;0;0;0
3;1;1;21;3;0;0;0;1;0;0;0
3;1;1;309;4;0;0;0;0;1;0;0
3;1;1;114;4;1;0;0;0;1;0;0
3;1;1;64;6;1;0;0;0;0;0;1
3;1;1;73;3;1;0;0;1;0;0;0
3;1;2;27;6;0;0;0;0;0;0;1
3;1;1;1;2;0;0;1;0;0;0;0
3;2;1;38;3;0;0;0;1;0;0;0
3;1;3;3;3;1;0;0;1;0;0;0
3;1;1;4;3;0;0;0;1;0;0;0
3;1;2;8;1;1;1;0;0;0;0;0
3;1;1;90;4;1;0;0;0;1;0;0
3;1;4;1;5;1;0;0;0;0;1;0
3;1;2;11;6;1;0;0;0;0;0;1
3;1;1;32;1;0;1;0;0;0;0;0
3;2;3;66;3;0;0;0;1;0;0;0
3;1;1;77;4;1;0;0;0;1;0;0
3;1;1;69;3;0;0;0;1;0;0;0
3;2;1;119;7;1;0;0;0;0;0;0
3;1;1;8;5;1;0;0;0;0;1;0
3;1;1;186;4;1;0;0;0;1;0;0
3;1;1;28;6;1;0;0;0;0;0;1
3;1;2;326;4;0;0;0;0;1;0;0
3;1;3;369;4;0;0;0;0;1;0;0
3;1;2;1;6;0;0;0;0;0;0;1
3;2;1;74;3;0;0;0;1;0;0;0
3;1;2;75;5;1;0;0;0;0;1;0
3;1;1;103;4;1;0;0;0;1;0;0
3;1;1;82;6;1;0;0;0;0;0;1
3;1;1;144;3;0;0;0;1;0;0;0
3;1;1;81;4;1;0;0;0;1;0;0
3;1;1;19;1;0;1;0;0;0;0;0
3;2;1;5;5;1;0;0;0;0;1;0
3;1;1;30;2;1;0;1;0;0;0;0
3;1;1;135;4;1;0;0;0;1;0;0
3;1;2;396;1;1;1;0;0;0;0;0
3;1;1;1;4;1;0;0;0;1;0;0
3;1;1;5;6;1;0;0;0;0;0;1
3;1;1;387;2;0;0;1;0;0;0;0
3;2;1;77;3;1;0;0;1;0;0;0
3;1;3;29;5;1;0;0;0;0;1;0
3;1;1;19;2;0;0;1;0;0;0;0
3;1;1;313;4;1;0;0;0;1;0;0
3;1;1;1;6;1;0;0;0;0;0;1
3;1;1;13;2;1;0;1;0;0;0;0
3;1;1;16;2;1;0;1;0;0;0;0
3;1;3;7;6;0;0;0;0;0;0;1
3;1;1;111;5;1;0;0;0;0;1;0
3;2;1;12;5;0;0;0;0;0;1;0
3;2;2;10;5;0;0;0;0;0;1;0
3;2;1;7;4;0;0;0;0;1;0;0
3;1;2;17;5;0;0;0;0;0;1;0
3;1;1;282;2;1;0;1;0;0;0;0
3;1;1;31;7;0;0;0;0;0;0;0
3;1;1;8;1;1;1;0;0;0;0;0
3;1;2;116;4;1;0;0;0;1;0;0
3;1;1;4;6;1;0;0;0;0;0;1
3;3;1;16;5;1;0;0;0;0;1;0
3;1;1;332;3;0;0;0;1;0;0;0
3;1;1;153;5;1;0;0;0;0;1;0
3;1;1;2;3;1;0;0;1;0;0;0
3;1;1;92;4;0;0;0;0;1;0;0
3;1;2;43;3;1;0;0;1;0;0;0
3;1;3;1;6;0;0;0;0;0;0;1
3;1;1;114;2;1;0;1;0;0;0;0
3;1;1;78;5;1;0;0;0;0;1;0
